invoice_id,invoice_line_id,project,invoice_status,usage_fee
3634447,3669287,D,HOLD_PAID,9.99
3831964,3874816,D,HOLD_PAID,9.99
3726461,3765239,D,HOLD_PAID,9.99
3605999,3639550,D,HOLD_PAID,9.99
3603348,3636812,D,HOLD_PAID,9.99
3640024,3675099,D,HOLD_PAID,9.99
3601303,3634677,D,HOLD_PAID,9.99
3629987,3664599,D,HOLD_PAID,9.99
3751627,3791201,D,HOLD_PAID,9.99
3783457,3824385,D,HOLD_PAID,9.99
3835400,3878417,D,HOLD_PAID,9.99
3671302,3707521,D,HOLD_PAID,9.99
3723826,3762538,D,HOLD_PAID,9.99
3603063,3636511,D,HOLD_PAID,9.99
3613528,3647441,D,HOLD_PAID,9.99
3691327,3728481,D,HOLD_PAID,9.99
3712426,3750701,D,HOLD_PAID,9.99
3822276,3864799,D,HOLD_PAID,9.99
3672739,3709007,D,HOLD_PAID,9.99
3848894,3892558,K,Paid,0.1
3718721,3757290,K,Paid,0.1
3638561,3673561,D,Paid,0.19
58133207,81825369,D,Paid,0.19
57956501,81610060,D,Paid,0.19
3637339,3672288,D,Paid,0.19
3870623,3915185,D,Paid,0.19
3805352,3847246,D,Paid,0.19
58155241,81853854,D,Paid,0.19
3682410,3719108,D,Paid,0.19
58069274,81747809,D,Paid,0.19
3849422,3893106,D,Paid,0.19
58006779,81657630,D,Paid,0.19
3869614,3914137,D,Paid,0.19
58133839,81822183,D,Paid,0.19
58354044,82092024,D,Paid,0.19
58394694,82142191,D,Paid,0.19
3838041,3881171,D,Paid,0.19
58355500,82063212,D,Paid,0.19
3786429,3827455,D,Paid,0.19
3631914,3666669,D,Paid,0.19
58520615,82290307,D,Paid,0.19
3711810,3750056,D,Paid,0.19
58434143,82180882,D,Paid,0.19
3872502,3917215,D,Paid,0.19
3707403,3745410,D,Paid,0.19
3712837,3751126,D,Paid,0.19
58005425,81650340,D,Paid,0.19
3677639,3714130,D,Paid,0.19
3731101,3769998,D,Paid,0.19
58581234,82354331,D,Paid,0.19
58355360,82076508,D,Paid,0.19
3698500,3736074,D,Paid,0.19
58100594,81793734,D,Paid,0.19
58489881,82261063,D,Paid,0.19
3600172,3633494,D,Paid,0.19
3682717,3719435,D,Paid,0.19
3802205,3843906,D,Paid,0.19
3710500,3748705,D,Paid,0.19
3766808,3807062,D,Paid,0.19
3849045,3892716,D,Paid,0.19
3718506,3757056,D,Paid,0.19
57901525,81544656,D,Paid,0.19
58490343,82251445,D,Paid,0.19
3618038,3652131,D,Paid,0.19
3787115,3828162,D,Paid,0.19
3645127,3680470,D,Paid,0.19
3850715,3894500,D,Paid,0.19
3614858,3648839,D,Paid,0.19
58068477,81732607,D,Paid,0.19
58316189,82043112,D,Paid,0.19
3623503,3657839,D,Paid,0.19
3640112,3675190,D,Paid,0.19
58164421,81868084,D,Paid,0.19
58068816,81741054,D,Paid,0.19
3717277,3755737,D,Paid,0.19
3777227,3817943,D,Paid,0.19
58007144,81656414,D,Paid,0.19
3802102,3843802,D,Paid,0.19
3618710,3652825,D,Paid,0.19
3778939,3819693,D,Paid,0.19
58550129,82328476,D,Paid,0.19
3674530,3710860,D,Paid,0.19
3858650,3902817,D,Paid,0.19
58488914,82267472,D,Paid,0.19
58395873,82141213,D,Paid,0.19
3766623,3806871,D,Paid,0.19
3708862,3746970,D,Paid,0.19
3669977,3706130,D,Paid,0.19
58489881,82259715,D,Paid,0.19
3611597,3645412,D,Paid,0.19
58610852,82402649,D,Paid,0.19
58489030,82241547,D,Paid,0.19
3780773,3821586,D,Paid,0.19
3709596,3747766,D,Paid,0.19
57929583,81560313,D,Paid,0.19
58489403,82247698,D,Paid,0.19
3837525,3880642,D,Paid,0.19
57872016,81482623,D,Paid,0.19
58134280,81820522,D,Paid,0.19
3888806,3934294,D,Paid,0.19
3795354,3836799,D,Paid,0.19
58164509,81866658,D,Paid,0.19
58490265,82241146,D,Paid,0.19
3699722,3737359,D,Paid,0.19
3634925,3669776,D,Paid,0.19
3865748,3910122,D,Paid,0.19
58467216,82230211,D,Paid,0.19
57872891,81485428,D,Paid,0.19
3761049,3801029,D,Paid,0.19
3776043,3816731,D,Paid,0.19
57901525,81543237,D,Paid,0.19
58256441,81976977,D,Paid,0.19
3845955,3889493,D,Paid,0.19
3618037,3652130,D,Paid,0.19
58134363,81812258,D,Paid,0.19
58391019,82134210,D,Paid,0.19
3605170,3638699,D,Paid,0.19
3797479,3839001,D,Paid,0.19
3680861,3717484,D,Paid,0.19
3817975,3860315,D,Paid,0.19
57956665,81606132,D,Paid,0.19
58396226,82118359,D,Paid,0.19
3625229,3659623,D,Paid,0.19
3837442,3880553,D,Paid,0.19
58550491,82329099,D,Paid,0.19
58355487,82079223,D,Paid,0.19
58284557,81985135,D,Paid,0.19
3849203,3892881,D,Paid,0.19
58133972,81828311,D,Paid,0.19
58286255,81988709,D,Paid,0.19
3844306,3887783,D,Paid,0.19
3759350,3799256,D,Paid,0.19
3786064,3827086,D,Paid,0.19
3649113,3684632,D,Paid,0.19
3783582,3824519,D,Paid,0.19
58670347,82473772,D,Paid,0.19
57872944,81502248,D,Paid,0.19
57842594,81470121,D,Paid,0.19
3641145,3676331,D,Paid,0.19
3870046,3914592,D,Paid,0.19
58490217,82246716,D,Paid,0.19
57955998,81611333,D,Paid,0.19
58489225,82242054,D,Paid,0.19
58133921,81827490,D,Paid,0.19
3788721,3829807,D,Paid,0.19
58355376,82079285,D,Paid,0.19
58133586,81809004,D,Paid,0.19
3752930,3792560,D,Paid,0.19
3796833,3838333,D,Paid,0.19
3781614,3822474,D,Paid,0.19
3764828,3805016,D,Paid,0.19
3849016,3892686,D,Paid,0.19
58520244,82283442,D,Paid,0.19
58102276,81767875,D,Paid,0.19
58194799,81884400,D,Paid,0.19
58256324,81970379,D,Paid,0.19
57930400,81559293,D,Paid,0.19
3590435,3623521,D,Paid,0.19
3799506,3841111,D,Paid,0.19
58286584,81990734,D,Paid,0.19
3870667,3915233,D,Paid,0.19
58133892,81812480,D,Paid,0.19
3798887,3840469,D,Paid,0.19
58068992,81727923,D,Paid,0.19
3698671,3736249,D,Paid,0.19
3695352,3732774,D,Paid,0.19
3727512,3766313,E,Paid,0.2
3705820,3743752,E,Paid,0.2
3782847,3823757,E,Paid,0.2
3652486,3688137,K,Paid,0.2
3858794,3902973,E,Paid,0.2
3745689,3785024,K,Paid,0.2
3900731,3946590,E,Paid,0.2
3705335,3743245,D,Paid,0.2
3672344,3708601,K,Paid,0.2
3829467,3872171,G,Paid,0.21307305
3899867,3945689,E,Paid,0.29
3750247,3789750,E,Paid,0.29
3859803,3904068,C,Paid,0.3
3704297,3742148,C,Paid,0.3
7569826,9798757,C,Paid,0.3
7615357,9850087,C,Paid,0.3
3884248,3929560,K,Paid,0.3
3622357,3656613,C,Paid,0.3
3673415,3709706,L,Paid,0.35
3761789,3801810,D,Paid,0.38
3781387,3822232,D,Paid,0.38
58391019,82129513,D,Paid,0.38
58068983,81744109,D,Paid,0.38
58467045,82228047,D,Paid,0.38
3788683,3829768,D,Paid,0.38
58316985,82050955,D,Paid,0.38
58100072,81758999,D,Paid,0.38
3691978,3729197,D,Paid,0.38
3840654,3883918,D,Paid,0.38
58286080,82011355,D,Paid,0.38
58581368,82349601,D,Paid,0.38
58354559,82105390,D,Paid,0.38
3766618,3806866,D,Paid,0.38
3859866,3904138,D,Paid,0.38
3750593,3790113,D,Paid,0.38
58670961,82476130,D,Paid,0.38
58286430,81995114,D,Paid,0.38
3627197,3661678,D,Paid,0.38
3869686,3914212,D,Paid,0.38
57952079,81600398,D,Paid,0.38
57929547,81562582,D,Paid,0.38
3778077,3818818,D,Paid,0.38
3780846,3821665,D,Paid,0.38
3800197,3841832,D,Paid,0.38
3718520,3757072,D,Paid,0.38
3627222,3661705,D,Paid,0.38
3639647,3674701,D,Paid,0.38
3907370,3953540,D,Paid,0.38
58068840,81744462,D,Paid,0.38
3879199,3924239,D,Paid,0.38
58309541,82048045,D,Paid,0.38
3628361,3662902,D,Paid,0.38
58354454,82095790,D,Paid,0.38
3624717,3659094,D,Paid,0.38
58036651,81707250,D,Paid,0.38
58316457,82047361,D,Paid,0.38
58133511,81810336,D,Paid,0.38
3865980,3910368,D,Paid,0.38
3787563,3828619,D,Paid,0.38
3699043,3736639,D,Paid,0.38
3719035,3757645,D,Paid,0.38
3873944,3918739,D,Paid,0.38
57842311,81455185,D,Paid,0.38
3638581,3673585,D,Paid,0.38
3795496,3836949,D,Paid,0.38
58550474,82330880,D,Paid,0.38
58007149,81649354,D,Paid,0.38
3805167,3847051,D,Paid,0.38
3775646,3816318,D,Paid,0.38
3798034,3839581,D,Paid,0.38
58549799,82313319,D,Paid,0.38
3811066,3853130,D,Paid,0.38
3678296,3714811,D,Paid,0.38
3857749,3901877,D,Paid,0.38
58355099,82098099,D,Paid,0.38
3850016,3893729,D,Paid,0.38
3649315,3684853,D,Paid,0.38
58036893,81684760,D,Paid,0.38
3866603,3911014,D,Paid,0.38
3690262,3727352,D,Paid,0.38
3623368,3657696,D,Paid,0.38
3637955,3672930,D,Paid,0.38
3680737,3717357,D,Paid,0.38
3891046,3936647,D,Paid,0.38
58550646,82327457,D,Paid,0.38
58285763,82007595,D,Paid,0.38
58068801,81728953,D,Paid,0.38
3751994,3791590,D,Paid,0.38
3704721,3742582,D,Paid,0.38
3819780,3862231,D,Paid,0.38
3716350,3754765,D,Paid,0.38
3872419,3917122,D,Paid,0.38
3687279,3724245,D,Paid,0.38
58391019,82118826,D,Paid,0.38
3689016,3726056,D,Paid,0.38
57901605,81527202,D,Paid,0.38
3757198,3797025,D,Paid,0.38
58354454,82099695,D,Paid,0.38
58488973,82240653,D,Paid,0.38
3608013,3641685,D,Paid,0.38
3835831,3878867,D,Paid,0.38
3796924,3838424,D,Paid,0.38
3874129,3918927,D,Paid,0.38
3768602,3808940,D,Paid,0.38
3880175,3925269,D,Paid,0.38
3682523,3719228,D,Paid,0.38
3693369,3730680,D,Paid,0.39
3865456,3909817,D,Paid,0.39
3740229,3779337,D,Paid,0.39
3672739,3709008,D,Paid,0.39
3788446,3829526,D,Paid,0.39
3613696,3647617,D,Paid,0.39
3709587,3747757,D,Paid,0.39
3634447,3669288,D,Paid,0.39
3833427,3876361,D,Paid,0.39
3876069,3920923,D,Paid,0.39
3853571,3897514,D,Paid,0.39
3601948,3635357,D,Paid,0.4
3816284,3858534,E,Paid,0.4
